formacion_productiva,jobs,total_stages,avg_water_m3,avg_pressure_psi,max_pressure_psi,avg_hp,avg_lateral_m,shale_jobs,operators,year_first,year_last,shale_pct,hal_primary_hazard,depth_range_m
vaca muerta,2467,91635,55164.0,11823.0,209641.0,30606.0,2308.0,2461,15,2015,2026,99.8,"High-pressure hydraulic fracturing, H2S presence, wellhead integrity",2500–4500
lajas,235,1482,3593.0,7140.0,12130.0,16175.0,4.0,0,4,2015,2022,0.0,"Tight sand fracture geometry, proppant flowback",2000–3500
magallanes,197,564,2073.0,2888.0,9275.0,1029.0,61.0,0,1,2015,2024,0.0,"Conventional workover, well integrity management",1500–3000
mina el carmen,183,461,238.0,7133.0,10410.0,1313.0,0.0,0,3,2015,2025,0.0,"Mature field workover, aging completion equipment",800–2500
mulichinco,126,603,1606.0,5642.0,10050.0,12813.0,392.0,0,3,2015,2022,0.0,"Tight sand completion, stimulation fluid returns",2000–3200
los molles,103,357,477.0,5013.0,22444.0,3958.0,0.0,7,2,2015,2023,6.8,"Deep shale, ultra-high pressure, CO2 injection",3500–5000
punta rosada,78,978,6054.0,10568.0,26775.0,21370.0,0.0,0,2,2015,2025,0.0,Golfo San Jorge mature field operations,1000–2000
comodoro rivadavia,68,130,88.0,5187.0,9257.0,432.0,0.0,0,3,2015,2024,0.0,"Oldest Argentine oil province, heavy workover load",500–2000
agrio,55,306,2721.0,4423.0,11758.0,4302.0,27.0,1,3,2017,2022,1.8,"Tight carbonate, acid stimulation services",1800–3000
cañadon seco,37,84,215.0,6374.0,10005.0,2073.0,13.0,0,2,2022,2023,0.0,Standard oilfield operations,N/A
precuyo,27,62,850.0,5992.0,12478.0,9267.0,12.0,0,4,2016,2023,0.0,Standard oilfield operations,N/A
bajo barreal,12,25,132.0,5033.0,7200.0,1410.0,16.0,0,2,2022,2023,0.0,Standard oilfield operations,N/A
castillo,8,10,91.0,3882.0,5900.0,1458.0,12.0,0,2,2022,2023,0.0,Standard oilfield operations,N/A
springhill,7,8,1655.0,5011.0,7489.0,5463.0,30.0,0,1,2019,2024,0.0,Standard oilfield operations,N/A
pozo d-129,6,14,677.0,7608.0,10287.0,5914.0,16.0,4,2,2021,2023,66.7,Standard oilfield operations,N/A
ANITA,6,7,276.0,3116.0,5350.0,1102.0,2.0,0,1,2019,2023,0.0,Standard oilfield operations,N/A
el trebol,6,8,79.0,3129.0,8000.0,435.0,0.0,0,2,2015,2020,0.0,Standard oilfield operations,N/A
lotena,5,15,849.0,6313.0,8145.0,8628.0,0.0,0,3,2015,2016,0.0,Standard oilfield operations,N/A
chachao,4,4,619.0,4109.0,4990.0,2593.0,0.0,4,1,2018,2019,100.0,Standard oilfield operations,N/A
tordillo,3,3,71.0,1863.0,2160.0,896.0,0.0,0,1,2015,2017,0.0,Standard oilfield operations,N/A
palermo aike,2,13,10861.0,9490.0,9788.0,13915.0,404.0,1,1,2021,2024,50.0,Standard oilfield operations,N/A
formación improductiva,2,7,1135.0,5885.0,6522.0,12908.0,0.0,0,2,2016,2017,0.0,Standard oilfield operations,N/A
quintuco,2,13,7321.0,6724.0,10227.0,8693.0,478.0,0,2,2016,2018,0.0,Standard oilfield operations,N/A
huitrín,1,1,22.0,1500.0,1500.0,588.0,0.0,0,1,2019,2019,0.0,Standard oilfield operations,N/A
grupo neuquén,1,3,186.0,3400.0,3400.0,32000.0,0.0,0,1,2019,2019,0.0,Standard oilfield operations,N/A
sierras blancas,1,2,219.0,2906.0,2906.0,6889.0,0.0,0,1,2016,2016,0.0,Standard oilfield operations,N/A
