empresa_informante,cuenca,frac_jobs,total_stages,total_water_m3,total_arena_tn,avg_pressure_psi,max_pressure_psi,avg_hp,avg_lateral_m,unconventional_jobs,shale_jobs,year_first_job,year_last_job,hal_confirmed_client,unconventional_pct,shale_pct,risk_tier
YPF S.A.,NEUQUINA,1765,51760,71026728.20647323,10781325.661187919,10940.0,209641.0,33906.0,1788.0,1763,1393,2015,2026,True,99.9,78.9,HIGH — Unconventional Neuquina (Vaca Muerta)
TECPETROL S.A.,NEUQUINA,272,8601,13421778.69227,1833279.048085,10250.0,111515.0,17387.0,1509.0,215,207,2015,2025,True,79.0,76.1,HIGH — Unconventional Neuquina (Vaca Muerta)
TECPETROL S.A.,GOLFO SAN JORGE,229,566,47968.28,4413.752,7048.0,10410.0,1138.0,0.0,5,4,2015,2025,True,2.2,1.7,MEDIUM — Mature Golfo San Jorge
COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,AUSTRAL,212,592,443407.876,13506.47,3027.0,9788.0,1299.0,61.0,201,1,2015,2024,False,94.8,0.5,LOW — Conventional Austral
SHELL ARGENTINA S.A.,NEUQUINA,147,5284,5695185.42,1247864.9392743765,11672.0,13899.0,2000.0,2446.0,147,147,2015,2024,True,100.0,100.0,HIGH — Unconventional Neuquina (Vaca Muerta)
VISTA ENERGY ARGENTINA SAU,NEUQUINA,132,6350,9992237.0084,1549067.6255181,13163.0,104089.0,27836.0,2820.0,131,131,2021,2025,True,99.2,99.2,HIGH — Unconventional Neuquina (Vaca Muerta)
PAMPA ENERGIA S.A.,NEUQUINA,130,3262,4294914.6,621147.92,8500.0,14183.0,13537.0,1475.0,130,74,2018,2025,True,100.0,56.9,HIGH — Unconventional Neuquina (Vaca Muerta)
PAN AMERICAN ENERGY SL,NEUQUINA,127,4652,7214867.60998,988668.195,11598.0,14211.0,20743.0,2313.0,126,125,2016,2025,True,99.2,98.4,HIGH — Unconventional Neuquina (Vaca Muerta)
TOTAL AUSTRAL S.A.,NEUQUINA,123,3715,5413874.2436,718198.3004545454,10880.0,13846.0,28585.0,2072.0,119,100,2015,2026,True,96.7,81.3,HIGH — Unconventional Neuquina (Vaca Muerta)
PLUSPETROL S.A.,NEUQUINA,116,4915,9022440.368,1116883.163,11411.0,13180.0,20973.0,2715.0,116,116,2019,2025,True,100.0,100.0,HIGH — Unconventional Neuquina (Vaca Muerta)
CAPEX S.A.,NEUQUINA,103,321,74348.2,0.0,4999.0,12460.0,3232.0,15.0,85,8,2015,2023,True,82.5,7.8,HIGH — Unconventional Neuquina (Vaca Muerta)
VISTA OIL & GAS ARGENTINA SAU,NEUQUINA,62,2930,4843646.74247,706293.584557,12322.0,13664.0,23072.0,2553.0,62,62,2019,2022,True,100.0,100.0,HIGH — Unconventional Neuquina (Vaca Muerta)
CGC ENERGIA SAU,GOLFO SAN JORGE,48,96,11855.0,0.0,5625.0,10005.0,1942.0,13.0,2,0,2022,2023,False,4.2,0.0,MEDIUM — Mature Golfo San Jorge
CHEVRON ARGENTINA S.R.L.,NEUQUINA,36,1453,2429997.98531638,304559.14,10461.0,16686.0,27239.0,2620.0,35,35,2019,2025,True,97.2,97.2,HIGH — Unconventional Neuquina (Vaca Muerta)
PETROLERA EL TREBOL S.A.,NEUQUINA,30,88,48071.6,7364.66,5615.0,8700.0,3541.0,0.0,26,13,2016,2019,False,86.7,43.3,HIGH — Unconventional Neuquina (Vaca Muerta)
COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,GOLFO SAN JORGE,27,31,1931.703,14.969,2794.0,6500.0,791.0,0.0,0,0,2015,2021,False,0.0,0.0,MEDIUM — Mature Golfo San Jorge
KILWER S.A.,NEUQUINA,26,908,1531280.0,216795.86,11900.0,12000.0,24136.0,2290.0,26,26,2019,2024,False,100.0,100.0,HIGH — Unconventional Neuquina (Vaca Muerta)
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,NEUQUINA,23,1027,2632924.31,166235.52,13368.0,20473.0,33599.0,2817.0,23,23,2017,2022,True,100.0,100.0,HIGH — Unconventional Neuquina (Vaca Muerta)
WINTERSHALL DEA ARGENTINA S.A,NEUQUINA,14,201,210185.0,0.0,10112.0,11480.0,32000.0,1038.0,13,13,2015,2019,True,92.9,92.9,HIGH — Unconventional Neuquina (Vaca Muerta)
"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",GOLFO SAN JORGE,11,27,1684.0,0.0,5853.0,8000.0,1650.0,20.0,0,0,2022,2022,False,0.0,0.0,MEDIUM — Mature Golfo San Jorge
CAPEX S.A.,GOLFO SAN JORGE,5,12,818.09,408.0,5184.0,6215.0,3937.0,0.0,0,0,2016,2022,True,0.0,0.0,MEDIUM — Mature Golfo San Jorge
OILSTONE ENERGIA S.A.,NEUQUINA,4,4,947.0,0.0,3639.0,4010.0,,83.0,0,0,2016,2018,False,0.0,0.0,MEDIUM — Conventional Neuquina
